用户ID,性别,百分位,行李质量_kg,场景类型,斜坡角度_deg,摩擦系数,水平加速度_m_s2,拉行系数,操作类型,肩关节角度_deg,肘关节角度_deg,腕关节角度_deg,手部水平作用力_N,手部垂直作用力_N,手部合力_N,腕关节力矩_X_Nm,腕关节力矩_Y_Nm,腕关节力矩_Z_Nm,腕关节力矩_合_Nm,肘关节力矩_X_Nm,肘关节力矩_Y_Nm,肘关节力矩_Z_Nm,肘关节力矩_合_Nm,肩关节力矩_X_Nm,肩关节力矩_Y_Nm,肩关节力矩_Z_Nm,肩关节力矩_合_Nm,MVC百分比,疲劳惩罚值,拇指估算总接触力_N,食指估算总接触力_N,中指估算总接触力_N,无名指估算总接触力_N,小指估算总接触力_N
男_P50,男,P50,14.0,斜坡,8.0,0.03,0.7,1.3,pushing,30.0,100.0,0.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.3895204190900965,0.0,2.3895204190900965,-0.0,-9.451529008012887,-0.0,9.451529008012887,-0.0,12.831212487838307,-0.0,12.831212487838307,12.17574154466022,0.00841942328944035,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
男_P50,男,P50,14.0,粗糙地面,0.0,0.05,1.0,1.5,pulling,40.0,90.0,15.0,27.127100000000002,129.96165000000002,132.7626077822084,-0.0,3.040609314102966,0.0,3.040609314102966,-0.0,-10.091515331239535,-0.0,10.091515331239535,-0.0,9.598885619502864,-0.0,9.598885619502864,27.658876621293416,0.0608060196224171,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042
男_P90,男,P90,8.0,机场平面,0.0,0.015,0.8,1.0,turning,35.0,85.0,25.0,7.5772,7.5772,10.715779004813417,-0.0,3.8012822923271035,0.0,3.8012822923271035,-0.0,-10.606807951595476,-0.0,10.606807951595476,-0.0,15.638410037675557,-0.0,15.638410037675557,2.2324539593361283,0.0,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
男_P90,男,P90,14.0,机场平面,0.0,0.015,0.8,1.0,lifting,45.0,110.0,10.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,4.4820190726812665,0.0,4.4820190726812665,-0.0,-16.818101325441067,-0.0,16.818101325441067,-0.0,5.837781090108285,-0.0,5.837781090108285,3.906794428838225,8.222761361720427e-05,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
男_P90,男,P90,14.0,斜坡,8.0,0.03,0.7,1.3,pushing,30.0,100.0,0.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.9781287135701024,0.0,2.9781287135701024,-0.0,-11.716377228036219,-0.0,11.716377228036219,-0.0,16.023827824163988,-0.0,16.023827824163988,12.17574154466022,0.00841942328944035,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
男_P90,男,P90,20.0,斜坡,8.0,0.03,0.7,1.3,pulling,40.0,90.0,15.0,50.90523868185595,66.17681028641273,83.49079916338438,-0.0,3.7942154608666616,0.0,3.7942154608666616,-0.0,-12.526446817134588,-0.0,12.526446817134588,-0.0,12.011792389791207,-0.0,12.011792389791207,17.393916492371748,0.020718483198937137,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219
男_P90,男,P90,8.0,粗糙地面,0.0,0.05,1.0,1.5,lifting,60.0,95.0,20.0,15.501199999999999,74.2638,75.86434730411908,-0.0,4.616787942099802,0.0,4.616787942099802,-0.0,-16.939036321358532,-0.0,16.939036321358532,-0.0,-0.9268502330071624,-0.0,0.9268502330071624,15.805072355024807,0.016396987801742056,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954
男_P95,男,P95,14.0,机场平面,0.0,0.015,0.8,1.0,lifting,45.0,110.0,10.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,4.691332591528512,0.0,4.691332591528512,-0.0,-17.613643441162452,-0.0,17.613643441162452,-0.0,6.08745996372573,-0.0,6.08745996372573,2.976605279114838,0.0,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
男_P95,男,P95,20.0,机场平面,0.0,0.015,0.8,1.0,pushing,30.0,100.0,0.0,18.943,18.943,26.78944751203354,-0.0,3.1203426565424497,0.0,3.1203426565424497,-0.0,-12.281784717687085,-0.0,12.281784717687085,-0.0,16.74366269323533,-0.0,16.74366269323533,4.25229325587834,0.00015682383987183722,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677
男_P95,男,P95,8.0,斜坡,8.0,0.03,0.7,1.3,pulling,40.0,90.0,15.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,3.9765483944620645,0.0,3.9765483944620645,-0.0,-13.136509001108918,-0.0,13.136509001108918,-0.0,12.537647476488694,-0.0,12.537647476488694,5.301003121484722,0.0005294615365082436,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
男_P95,男,P95,8.0,斜坡,8.0,0.03,0.7,1.3,lifting,60.0,95.0,20.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,4.837220743201206,0.0,4.837220743201206,-0.0,-17.755788011713086,-0.0,17.755788011713086,-0.0,-0.9950815043483053,-0.0,0.9950815043483053,5.301003121484722,0.0005294615365082436,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
男_P95,男,P95,14.0,粗糙地面,0.0,0.05,1.0,1.5,turning,35.0,85.0,25.0,27.127100000000002,129.96165000000002,132.7626077822084,-0.0,3.9678158719687984,0.0,3.9678158719687984,-0.0,-11.077224126286053,-0.0,11.077224126286053,-0.0,16.348554055529938,-0.0,16.348554055529938,21.073429806699746,0.03266488649777028,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042
女_P5,女,P5,20.0,机场平面,0.0,0.015,0.8,1.0,lifting,45.0,110.0,10.0,18.943,18.943,26.78944751203354,-0.0,1.9262249870640684,0.0,1.9262249870640684,-0.0,-7.305564542323147,-0.0,7.305564542323147,-0.0,2.3971474510299267,-0.0,2.3971474510299267,12.756879767635018,0.009519670280008557,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677
女_P5,女,P5,8.0,机场平面,0.0,0.015,0.8,1.0,pushing,30.0,100.0,0.0,7.5772,7.5772,10.715779004813417,-0.0,1.2822048542078532,0.0,1.2822048542078532,-0.0,-5.098885232374844,-0.0,5.098885232374844,-0.0,6.783712689197814,-0.0,6.783712689197814,5.102751907054008,0.00044215655826192684,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
女_P5,女,P5,8.0,斜坡,8.0,0.03,0.7,1.3,pulling,40.0,90.0,15.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,1.6324579145266227,0.0,1.6324579145266227,-0.0,-5.444706751783558,-0.0,5.444706751783558,-0.0,5.064789466475497,-0.0,5.064789466475497,15.903009364454167,0.016648765065919197,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
女_P5,女,P5,14.0,斜坡,8.0,0.03,0.7,1.3,lifting,60.0,95.0,20.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,1.9845983340101792,0.0,1.9845983340101792,-0.0,-7.357500314255517,-0.0,7.357500314255517,-0.0,-0.4945684679794658,-0.0,0.4945684679794658,27.83026638779479,0.06165421288888517,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
女_P5,女,P5,14.0,粗糙地面,0.0,0.05,1.0,1.5,turning,35.0,85.0,25.0,27.127100000000002,129.96165000000002,132.7626077822084,-0.0,1.6254984930472178,0.0,1.6254984930472178,-0.0,-4.578154474135557,-0.0,4.578154474135557,-0.0,6.637467079034779,-0.0,6.637467079034779,63.22028942009923,0.3626483257840515,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042
女_P10,女,P10,14.0,机场平面,0.0,0.015,0.8,1.0,turning,35.0,85.0,25.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,1.7419874445448076,0.0,1.7419874445448076,-0.0,-4.907853694452724,-0.0,4.907853694452724,-0.0,7.0695808533767615,-0.0,7.0695808533767615,5.682610078310145,0.0007196396832251166,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
女_P10,女,P10,14.0,机场平面,0.0,0.015,0.8,1.0,lifting,45.0,110.0,10.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,2.054555672777613,0.0,2.054555672777613,-0.0,-7.796187683326041,-0.0,7.796187683326041,-0.0,2.543722302731805,-0.0,2.543722302731805,5.682610078310145,0.0007196396832251166,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
